DATE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1.0,261000,268000,272000,273000,288000,281000,279000,287000,276000,262000,249000,228000
2.0,261000,268000,272000,273000,288000,281000,278000,286000,276000,262000,245000,228000
3.0,261000,275000,271000,273000,287000,281000,278000,281000,276000,262000,245000,228000
4.0,261000,275000,274000,273000,285000,281000,278000,281000,256000,262000,244000,228000
5.0,261000,275000,273000,273000,285000,281000,278000,281000,277000,260000,244000,228000
6.0,262000,276000,273000,274000,285000,281000,278000,281000,275000,260000,245000,229000
7.0,262000,275000,273000,274000,285000,281000,279000,281000,268000,260000,244000,232000
8.0,262000,275000,273000,274000,285000,278000,278000,281000,268000,260000,244000,231000
9.0,262000,275000,272000,274000,285000,279000,280000,280000,268000,260000,243000,232000
10.0,262000,276000,271000,274000,285000,278000,279000,276000,268000,260000,243000,232000
11.0,262000,276000,273000,274000,283000,278000,279000,276000,268000,260000,243000,232000
12.0,262000,276000,272000,274000,283000,278000,279000,276000,268000,255000,243000,232000
13.0,263000,276000,272000,274000,283000,278000,281000,277000,268000,255000,243000,232000
14.0,263000,276000,272000,274000,283000,278000,282000,276000,268000,255000,243000,238000
15.0,263000,276000,272000,274000,283000,278000,282000,276000,269000,255000,243000,238000
16.0,264000,276000,276000,274000,283000,279000,282000,277000,268000,255000,241000,238000
17.0,263000,274000,276000,274000,283000,278000,282000,276000,268000,255000,240000,238000
18.0,259000,274000,276000,275000,281000,278000,282000,277000,268000,254000,241000,238000
19.0,240000,274000,276000,275000,282000,271000,282000,277000,268000,250000,240000,238000
20.0,240000,275000,276000,287000,282000,282000,291000,277000,268000,250000,242000,238000
21.0,240000,274000,276000,287000,282000,281000,291000,276000,265000,250000,240000,240000
22.0,247000,274000,277000,287000,282000,275000,291000,277000,266000,251000,241000,240000
23.0,261000,274000,277000,287000,282000,275000,291000,277000,266000,251000,228000,240000
24.0,267000,272000,277000,286000,281000,275000,291000,276000,257000,250000,228000,240000
25.0,267000,272000,277000,287000,281000,275000,291000,276000,265000,250000,228000,240000
26.0,267000,272000,277000,287000,281000,276000,291000,276000,265000,250000,228000,240000
27.0,268000,272000,277000,288000,281000,275000,287000,276000,265000,249000,228000,240000
28.0,268000,272000,277000,288000,281000,275000,287000,276000,262000,249000,229000,239000
29.0,268000,272000,277000,288000,281000,278000,287000,276000,262000,249000,228000,239000
30.0,268000,,273000,288000,281000,278000,287000,276000,262000,249000,228000,239000
31.0,268000,,273000,,281000,,287000,276000,,249000,,239000
